order,file_path,thumbnail,width,height
41,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_041.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_041.jpg,900,1502
42,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_042.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_042.jpg,900,1502
43,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_043.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_043.jpg,900,1502
44,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_044.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_044.jpg,900,1502
45,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_045.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_045.jpg,900,1502
46,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_046.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_046.jpg,900,1502
47,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_047.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_047.jpg,900,1502
48,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_048.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_048.jpg,900,1502
49,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_049.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_049.jpg,900,1502
50,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_050.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_050.jpg,900,1502
51,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_051.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_051.jpg,900,1502
52,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_052.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_052.jpg,900,1502
