order,file_path,thumbnail,width,height
31,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_031.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_031.jpg,900,1498
32,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_032.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_032.jpg,900,1498
33,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_033.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_033.jpg,900,1498
34,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_034.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_034.jpg,900,1498
35,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_035.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_035.jpg,900,1498
36,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_036.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_036.jpg,900,1498
37,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_037.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_037.jpg,900,1498
38,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_038.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_038.jpg,900,1498
39,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_039.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_039.jpg,900,1498
40,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_040.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_040.jpg,900,1498
41,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_041.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_041.jpg,900,1498
42,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_042.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_042.jpg,900,1498
43,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_043.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_043.jpg,900,1498
