order,set_key,file_path,thumbnail,width,height
0,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_015.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_015.jpg,900,1490
1,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_014.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_014.jpg,900,1490
2,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_016.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_016.jpg,900,1490
3,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_002.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_002.jpg,900,1490
4,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_003.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_003.jpg,900,1490
5,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_017.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_017.jpg,900,1490
6,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_013.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_013.jpg,900,1490
7,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_007.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_007.jpg,900,1490
8,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_006.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_006.jpg,900,1490
9,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_012.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_012.jpg,900,1490
10,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_004.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_004.jpg,900,1490
11,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_010.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_010.jpg,900,1490
12,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_011.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_011.jpg,900,1490
13,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_005.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_005.jpg,900,1490
14,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_008.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_008.jpg,900,1490
15,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_009.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_009.jpg,900,1490
16,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_019.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_019.jpg,900,1490
17,Springfield,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/Springfield_AD_018.jpg,https://transcribe.ischool.umd.edu/dcic_docs/Springfield_Box131/thumb/Springfield_AD_018.jpg,900,1490
